authors,title,year,dric
"(1) BF Manso, G Awabil, EK Ntim",Efficacy of Combined Therapy of Cognitive Restructuring and Study Skills Counselling on Test Anxiety among Senior High School Students in Ghana,2017,NO
"(1) J Prah, A Kudom, O Lasim, E Abu","Knowledge, Attitude and Perceptions of Pregnant Women towards Caesarean Section among Antenatal Clinic Attendants in Cape Coast, Ghana",2017,NO
"(2) JK Prah, A Kudom, OO Lasim, EK Abu","Knowledge, attitude and perceptions of pregnant women towards caesarean section among antenatal clinic attendants in Cape Coast, Ghana",2017,NO
"(2) Y Awuku, Y Nartey, J Lovi, M Nortey, T Morna, P Akakpo",An Unusual Cause of Upper Gastrointestinal Bleeding in Clinical Practice; A Case Report of Locally Invasive Colon Cancer with Superimposed Actinomycosis,2017,NF
"(1) K Hampshire, H Hamill, S Mariwah, J Mwanga, D Amoako-Sakyi",The application of signalling theory to health-related trust problems: the example of herbal clinics in Ghana and Tanzania,2017,NO
"(3) D Wilmot, EO Ameyaw, D Amoako-Sakyi, JN Boampong, NB Quashie",In vivo efficacy of top five surveyed Ghanaian herbal anti-malarial products,2017,NO
"(2) M Cherif, D Amoako-Sakyi, A Dolo, JO Pearson, B Gyan, D Obiri-Yeboah, ...","Distribution of FcγR gene polymorphisms among two sympatric populations in Mali: differing allele frequencies, associations with malariometric indices and implications for …",2016,NO
"(3) D Amoako-Sakyi, S Adukpo, KA Kusi, D Dodoo, MF Ofori, GO Adjei, ...",A STAT6 intronic single-nucleotide polymorphism is associated with clinical malaria in Ghanaian children,2016,NO
"(1) JL Augustine Tanle, Akwasi Kumi-Kyereme, Simon Mariwah, Kobina Esia-Donkoh ...",Preferences for antiretroviral therapy services: Qualitative evidence from people living with HIV in Ghana,2017,NO
"(2) SD Rominski, E Darteh, KS Dickson, M Munro-Kramer","Attitudes toward abortion among students at the University of Cape Coast, Ghana",2017,NO
"(1) SD Rominski, E Darteh, M Munro‐Kramer","Rapeâ myth acceptance among students at the University of Cape Coast, Ghana",2017,NO
"(1) S Rominski, E Darteh, M Munro-Kramer",An intervention to reduce sexual violence on university campus in Ghana: a pilot test of Relationship Tidbits at the University of Cape Coast,2017,NO
"(1) SD Rominski, C Moyer, E Darteh","Sexual Coercion Among University of Cape Coast, Ghana, Students",2016,NO
"(1) A Gardner, PK Forson, G Oduro, B Stewart, N Dike, P Glover, RF Maio",Diagnostic accuracy of the Kampala Trauma Score using estimated Abbreviated Injury Scale scores and physician opinion,2017,NO
"(1) NO Dike, NSA Quao, C Ababio, D Iroko, G Oduro",Cardiac Arrest Survival Post-Electrocution–Management in a Low-Resource Emergency Department in Ghana,2017,NF
"(2) V Arkorful, G Oduro, N Abaidoo","The use of Mobile Phones in Teaching and Learning: A Case Study at the College of Distance Education, University of Cape Coast",2016,NO
"(4) R Adade, BK Nyarko, DW Aheto, KN Osei",Fragmentation of wetlands in the south eastern coastal savanna of Ghana,2017,NO
"(2) S Mariwah, KN Osei, MS Amenyo-Xa",Urban land use/land cover changes in the Tema metropolitan area (1990–2010),2017,NO
"(2) MS Amenyo-Xa, S Mariwah, KN Osei","Urban land use/land cover changes in the Tema Metropolitan area, Ghana (1990–2010)",2016,NO
"(1) F Ansah, P Swanzy, PH Nudzor",Strategically balancing the focus of quality assurance frameworks of higher education institutions in Africa – the ghanaian context,2017,NO
"(1) PH Nudzor, F Ansah",Strengthening Decentralised Educational Administration in Ghana: A Critical Review of District-Level Practices and Processes,2017,NF
"(2) M Amakyi, A Ampah-Mensah","Dilemma of access and provision of quality basic education in Central Region, Ghana",2016,NO
"(1) C Hayford, M Yiadom, NO Owusu",Is Performance Appraisal System Anachronistic in Tertiary Institutions in Ghana? Evidence from the University of Cape Coast,2016,NF
"(1) S Suglo, JPK Ninnoni, B Yiadom, J Gross, A Afaya, S Achaab",Barriers to Accessing Maternity Care among Expectant Mothers at Tamale Teaching Hospital,2017,NO
"(2) VM Minadzi, G Nyame",Leadership styles of basic school head teachers: How does it influence teachers’ classroom performance,2016,NO
"(1) EO Afreh, WK Agbevanu",Perception of the Influence of Training and Development Programmes on Performance by Senior Staff Employees of University of Cape Coast,2016,NF
"(2) MN Andersen, SY Dorvlo, E Amoakwah, JO Eduah, KK Amoah, EO Danso, ...",Green Cohesive Agricultural Resource Management The WEBSOC Project,2017,NO
"(1) AT Asare, F Mensah, S Acheampong, E Asare-Bediako, J Armah",Effects of Gamma Irradiation on Agromorphological Characteristics of Okra (Abelmoschus esculentus L. Moench.),2017,NO
"(1) J Nunoo, F Nyanzu","Dietary pattern, socioeconomic status and child health outcomes in Ghana: application of multilevel analysis",2017,NO
"(1) FY Opare, P Adatara, A Kuug, F Nyande, MA Apaanye, F Achaliwie, ...",As I see it: the cry of the community psychiatric nurse in Ghana,2016,NO
"(1) F Nyanzu, J Atta Peprah","Regulation, Outreach and Sustainability of MFIs in SSA: A Multilevel Analysis",2016,NO
